NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
PROC_LICIT_LOTE;1;PLIC_Numero;SIM;SIM;Caractere(16);Núm. de controle do processo licitatório no Aplic;PROC_LICIT_ABERTURA_RETIFIC;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PROC_LICIT_LOTE;2;MLIC_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade da licitação;PROC_LICIT_ABERTURA_RETIFIC;19...72|01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 14, 15, 17;REGRA 1: O conteúdo do campo deverá estar preenchido com "19...72|'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '12', '13', '14', '15', '17'".
PROC_LICIT_LOTE;3;PLIC_Data;SIM;SIM;Caractere(10);Data do processo licitatório;PROC_LICIT_ABERTURA_RETIFIC;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PROC_LICIT_LOTE;4;PLIC_Situacao;SIM;SIM;Inteiro;Situação do processo licitatório;PROC_LICIT_ABERTURA_RETIFIC;1...13|21, 22;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...13|'21', '22'".
PROC_LICIT_LOTE;5;PLICLOTE_NumeroLote;SIM;SIM;Inteiro;Núm. do lote conforme o edital de abertura;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
PROC_LICIT_LOTE;6;PLICLOTE_DescricaoLote;NÃO;SIM;Caractere(255);Descrição do lote;;;
PROC_LICIT_LOTE;7;PLICLOTE_LoteMicroEmpresa;NÃO;SIM;Caractere(1);O lote é exclusivo para microempresa?;;"S" para sim "N" para não;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S', 'N'".
PROC_LICIT_LOTE;8;PLICLOTE_QuantidadeItem;NÃO;SIM;Caractere(10,2);Quantidade de itens que compõe o lote;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PROC_LICIT_LOTE;9;PLICLOTE_ValEstimado;NÃO;SIM;Caractere(14,2);Valor total estimado do lote;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PROC_LICIT_LOTE_ITEM_HOMOLOG;1;PLIC_Numero;SIM;SIM;Caractere(16);Núm. de controle do processo licitatório no Aplic;PARTICIPACAO_PROC_LICIT_LOTE;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PROC_LICIT_LOTE_ITEM_HOMOLOG;2;MLIC_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade da licitação;PARTICIPACAO_PROC_LICIT_LOTE;19...72|01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 14, 15, 17;REGRA 1: O conteúdo do campo deverá estar preenchido com "19...72|'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '12', '13', '14', '15', '17'".
